City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Shimoda,JP,34.6667,138.95,78.15,88,44,10.27,scattered clouds
299,Ifakara,TZ,-8.1333,36.6833,74.39,61,83,1.23,broken clouds
300,Yulara,AU,-25.2406,130.9889,42.64,61,0,6.91,clear sky
301,Cidreira,BR,-30.1811,-50.2056,61.84,88,96,14.54,overcast clouds
302,Trinidad,BO,-14.8333,-64.9,87.78,33,0,3.44,smoke
303,Carinhanha,BR,-14.3047,-43.765,82.54,25,57,8.12,broken clouds
304,Poum,NC,-20.2333,164.0167,69.82,66,98,20.65,overcast clouds
305,Jinchang,CN,38.4953,102.1739,74.08,24,98,6.96,overcast clouds
306,Barranca,PE,-10.75,-77.7667,66.87,74,24,11.12,few clouds
307,Port-Gentil,GA,-0.7193,8.7815,78.76,78,90,11.5,overcast clouds
308,Dingle,PH,10.9995,122.6711,76.89,87,100,6.93,light rain
309,Ormara,PK,25.2088,64.6357,80.38,87,35,9.22,scattered clouds
310,Porto Novo,BJ,6.4965,2.6036,78.62,82,100,5.99,overcast clouds
311,Zalantun,CN,48.0,122.7167,58.32,90,25,4.47,scattered clouds
312,Burnie,AU,-41.0667,145.9167,49.91,79,94,16.06,overcast clouds
313,Odesskoye,RU,54.2111,72.9651,64.31,61,74,3.78,broken clouds
314,Norman Wells,CA,65.282,-126.8329,62.64,67,75,11.5,smoke
315,Ostrovskoye,RU,57.8057,42.2433,57.72,60,97,4.63,overcast clouds
316,Tomorkeny,HU,46.6172,20.0436,66.54,78,58,12.66,broken clouds
317,Hami,CN,42.8,93.45,85.08,21,93,15.05,overcast clouds
318,Cayenne,GF,4.9333,-52.3333,86.04,73,0,1.01,clear sky
319,Bay-Khaak,RU,51.1667,94.5,54.77,91,69,2.75,moderate rain
320,Kushima,JP,31.4583,131.2333,78.01,87,66,11.3,broken clouds
321,Katsuura,JP,35.1333,140.3,80.71,87,62,6.98,broken clouds
322,Coos Bay,US,43.3665,-124.2179,60.15,100,90,5.75,fog
323,Jasper,US,37.2001,-94.3502,80.65,74,75,8.05,haze
324,Rocha,UY,-34.4833,-54.3333,60.48,85,100,9.17,overcast clouds
325,Denton,US,33.2001,-97.1336,94.01,50,75,1.99,broken clouds
326,Coquimbo,CL,-29.9533,-71.3436,56.93,76,75,9.22,broken clouds
327,Tecpan,GT,14.7623,-90.9947,60.37,88,97,2.91,overcast clouds
328,Imeni Poliny Osipenko,RU,52.4201,136.4853,56.5,95,100,5.14,overcast clouds
329,Jalu,LY,29.0331,21.5482,95.52,16,0,17.16,clear sky
330,Kenai,US,60.5544,-151.2583,61.09,78,20,8.05,few clouds
331,Huixtla,MX,15.15,-92.4667,81.88,82,99,3.06,overcast clouds
332,Staraya Mayna,RU,54.6,48.95,68.11,67,0,5.26,clear sky
333,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,78,40,3.44,scattered clouds
334,Saint-Pierre,RE,-21.3393,55.4781,67.64,72,0,5.75,clear sky
335,Atbasar,KZ,51.8,68.3333,68.05,63,9,5.66,clear sky
336,Macia,MZ,-25.0269,33.0989,63.12,71,0,7.99,clear sky
337,Seydi,TM,39.4816,62.9137,87.03,14,0,10.83,clear sky
338,Vaitape,PF,-16.5167,-151.75,79.03,70,24,10.33,few clouds
339,Mehamn,NO,71.0357,27.8492,53.78,82,75,5.75,broken clouds
340,Uuemoisa,EE,58.9394,23.5894,57.92,63,0,9.57,clear sky
341,Richards Bay,ZA,-28.783,32.0377,62.49,91,0,5.39,clear sky
342,Mareeba,AU,-17.0,145.4333,54.45,80,91,2.13,overcast clouds
343,Liberia,LR,6.5,-9.5,71.82,88,72,4.74,broken clouds
